Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp,Cloud
30/06/2021,22.6,24.3,20.8,0,1005.3,158,10,2
29/06/2021,23.1,25.4,20.8,2,1004.5,153,10,2
28/06/2021,23.2,25.4,21,0,1004.7,165,10,2
27/06/2021,22.1,23.3,21,0,1005.2,140,8,2
26/06/2021,22.8,24.8,20.8,0,1006.1,143,11,2
25/06/2021,20.9,23.6,18.3,2,1007.5,143,11,2
24/06/2021,21.9,25.5,18.3,0.2,1010,147,10,2
23/06/2021,27.4,32.7,22.1,4.4,1011.5,168,10,2
22/06/2021,27.2,32.7,21.8,0,1008.4,132,9,2
21/06/2021,28.1,34.3,21.8,0,1004.1,172,12,2
20/06/2021,27.9,34.3,21.5,0,1001.2,154,9,2
19/06/2021,25.9,32.2,19.5,0,999.8,234,10,2
18/06/2021,24.2,29.3,19.2,0,1001.9,235,7,2
17/06/2021,22.1,25.5,18.8,4.1,1004.1,264,6,2
16/06/2021,22.1,25.5,18.8,0,1005.4,143,9,2
15/06/2021,21.1,24.2,18,2,1000.8,62,11,2
14/06/2021,19.8,22.1,17.5,14.3,1000.1,121,16,2
13/06/2021,18.6,20.4,16.7,0,1007.1,148,12,2
12/06/2021,21.4,26,16.7,0,1011.8,154,13,2
11/06/2021,22.9,26.9,18.9,0,1011,177,11,2
10/06/2021,22,25.6,18.4,1.9,1007.6,144,9,2
09/06/2021,21.2,24.5,17.9,1.3,1009.9,133,11,2
08/06/2021,21.9,25.6,18.3,0.6,1012.4,140,11,2
07/06/2021,23.8,28.8,18.7,0,1009.1,157,14,2
06/06/2021,23.6,28.8,18.5,0,1005.3,152,11,2
05/06/2021,22.2,28,16.4,0,1000.1,158,8,2
04/06/2021,21.2,26,16.4,0,1000.5,201,11,2
03/06/2021,19,20.9,17.1,0.9,1005.1,290,9,2
02/06/2021,18.6,20.8,16.5,0.8,1007.4,150,14,2
01/06/2021,18.8,22.2,15.4,0,1010.1,138,13,2
31/05/2021,19.6,23.8,15.4,0,1007.6,142,13,2
30/05/2021,20.6,24.9,16.3,2,1006.5,126,10,2
29/05/2021,20.6,24.9,16.4,0,1004,181,9,2
28/05/2021,19.8,24,15.5,0,1005.1,297,20,2
27/05/2021,19.8,24,15.5,0,1000.2,186,11,2
26/05/2021,18.8,24,13.6,2,1002.2,245,14,2
25/05/2021,18.8,24,13.6,0,1007.4,193,14,2
24/05/2021,18.9,22.7,15.1,1.9,1008.8,123,14,2
23/05/2021,18.4,21,15.8,0,1011.3,327,12,2
22/05/2021,17.4,21,13.8,0,1009.5,158,12,2
21/05/2021,17.4,21.3,13.4,0,1009.3,163,11,2
20/05/2021,17.4,21.5,13.4,0.3,1008.9,161,10,2
19/05/2021,20.2,24.9,15.6,9.7,1010.1,156,8,2
18/05/2021,20.3,26.7,13.9,0,1010.5,173,9,2
17/05/2021,19,26.7,11.3,0,1011.1,284,9,2
16/05/2021,16.4,21.6,11.3,2.9,1007.8,337,22,2
15/05/2021,18.4,21.6,15.3,3.4,1003.7,304,13,2
14/05/2021,17,20.1,13.9,28.9,1006.6,116,14,2
13/05/2021,17,20.1,13.9,0,1011.5,141,13,2
12/05/2021,15.7,17.6,13.7,0.8,1011.5,134,8,2
11/05/2021,15.1,16.9,13.3,0.5,1010.4,237,6,2
10/05/2021,16.1,19.2,13.1,0,1010.3,129,13,2
09/05/2021,19.6,26,13.1,0,1009.2,129,15,2
08/05/2021,19.8,26,13.5,0,1005.6,125,15,2
07/05/2021,19.1,23.9,14.2,0,1007.4,249,18,2
06/05/2021,16.2,20.8,11.6,0,1006.8,195,19,2
05/05/2021,16.4,21.3,11.6,0,1014.3,182,13,2
04/05/2021,14.9,19.1,10.8,0.4,1011.4,320,15,2
03/05/2021,14.3,19.4,9.2,4.4,1012,124,12,2
02/05/2021,13.6,19.4,7.8,0,1020.3,172,11,2
